MES ;ANO;DESTINO;DESTINAÄ«O;RES÷DUO;CLASSE;CLASSE_12;MASSA(t);VIAGENS;Volume (m3);ORIGEM;NOTAS;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS CONST.CIVIL;RCC;RCCV;45,79;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;1298,52;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA EM LOTES PUB. E PARTICULARES;RPU;RSU;1,39;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;2890,94;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2220,13;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;2213,39;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;31845,05;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;60515;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;241,42;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;1578,72;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;4887,6;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;36,49;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;11,74;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;1588,29;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;17,14;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DA LAGOA DA PAMPULHA;RPU;RSU;7,57;;;SLU;;
Jan;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;24,49;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;1180,59;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA EM LOTES PUB. E PARTICULARES;RPU;RSU;11,84;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;3573;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2161,81;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1670,82;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;27532,53;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;55577,42;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;PODA ATERRADA;RPO ;RPO;8,56;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;186,27;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;1300,47;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;4424,85;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;137,65;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;1,28;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;1454,84;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;8,58;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;REJEITO TRIAGEM MATERIAIS;RDO;RSU;5,99;;;SLU;;
Fev;2009;CTR MACAÈBAS;ATERRAGEM;VIDRO RECICLADO SA÷DA;RDO;RSU;8,31;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;1170,09;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA EM LOTES PUB. E PARTICULARES;RPU;RSU;28,32;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;3441,58;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2159,11;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1805;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;30547,32;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;58456,41;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;167,35;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;1782,73;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;4318,17;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;143,14;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;23,26;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;1527,38;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;14,42;;;SLU;;
Mar;2009;CTR MACAÈBAS;ATERRAGEM;REJEITO TRIAGEM MATERIAIS;RDO;RSU;43,94;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;996,35;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA EM LOTES PUB. E PARTICULARES;RPU;RSU;19,39;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;5665,29;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2207,83;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1794,24;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;28647,68;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;54851,77;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;154,38;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;2894,67;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;6177,44;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;84,97;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;6,91;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;1591,04;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;14,03;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;REJEITO TRIAGEM MATERIAIS;RDO;RSU;14,51;;;SLU;;
Abr;2009;CTR MACAÈBAS;ATERRAGEM;SUCATA DE ALUM÷NIO;RDO;RSU;7,3;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA;RPU;RSU;862,84;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;CAPINA EM LOTES PUB. E PARTICULARES;RPU;RSU;12,25;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;5158,5;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;2105,57;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1883,18;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;28424,9;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;RES TRANSBORDO CTRS-BR040;Outros;RSU;50696,22;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS DE BOCA DE LOBO;RPU;RSU;177,17;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA;RPU;RSU;2619,99;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;MULTITAREFA - URPV;Outros;RSU;6062,87;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;45,82;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;LIMP.OBRA DE ARTE E P‡S-EVENTO;RPU;RSU;7,39;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;VARRIÄ«O;RPU;RSU;1654,64;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;7,63;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;REJEITO TRIAGEM MATERIAIS;RDO;RSU;32,44;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;VIDRO RECICLADO SA÷DA;RDO;RSU;6,92;;;SLU;;
Mai;2009;CTR MACAÈBAS;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;176,59;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;1119,15;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;99,69;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;41450,92;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;9760,5;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DEPOSIÄ«O CLANDESTINA/ENTULHO;RCC;RCCV;3784,59;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DE DEPOSIÄ«O CLANDESTINA/TERRA;RCC;RCCV;1842,95;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;RES÷DUOS URPV - ENTULHO;RCC;RCCV;435,17;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;BARRO;RPU;RSU;11549,95;;;SLU;;
Jan;2009;CTRS BR040;ATERRAGEM;ANIMAIS MORTOS;RSS;RSS;2,17;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;CAPINA;RPU;RSU;1467,96;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;19422,8;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;VARRIÄ«O;RPU;RSU;1521,36;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1105,14;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;11169,15;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;PODA ATERRADA;RPO ;RPO;477,35;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;CAPIM;RPU;RSU;350,81;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;COLETA ESPECIAL;RDO;RSU;118,63;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;PRODUTOS DETERIORADOS;Outros;RSU;3,77;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;897,29;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;396,75;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS URPV;RCCV;RCCV;2814,81;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;MATERIAL INERTE (LIXO/PISO);RSU;RSU;9469,31;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;1700,18;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;0,12;;;SLU;;
Jan;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;9281,47;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;922,21;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;145,56;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;37290,61;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;10895,99;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DEPOSIÄ«O CLANDESTINA/ENTULHO;RCC;RCCV;2461,23;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DE DEPOSIÄ«O CLANDESTINA/TERRA;RCC;RCCV;2240,08;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;RES÷DUOS URPV - ENTULHO;RCC;RCCV;514,84;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;BARRO;RPU;RSU;7669,05;;;SLU;;
Fev;2009;CTRS BR040;ATERRAGEM;ANIMAIS MORTOS;RSS;RSS;4,94;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;CAPINA;RPU;RSU;1100,12;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;17093,01;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;VARRIÄ«O;RPU;RSU;1399,81;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;900,96;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;11505,55;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;PODA ATERRADA;RPO ;RPO;644,83;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;CAPIM;RPU;RSU;60,84;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;COLETA ESPECIAL;RDO;RSU;129,36;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;PRODUTOS DETERIORADOS;Outros;RSU;2,78;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;386;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;219,61;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS URPV;RCCV;RCCV;4239,69;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;MATERIAL INERTE (LIXO/PISO);RSU;RSU;10291,01;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;1478,32;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;28,84;;;SLU;;
Fev;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;5112,93;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;1018;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;177,75;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;38522,41;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;15757,82;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DEPOSIÄ«O CLANDESTINA/ENTULHO;RCC;RCCV;3936,78;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DE DEPOSIÄ«O CLANDESTINA/TERRA;RCC;RCCV;4513,44;;;SLU;;
Mar;2009;CTRS BR040;ATERRAGEM;ANIMAIS MORTOS;RSS;RSS;6,24;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;CAPINA;RPU;RSU;1193,17;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;18693,88;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;VARRIÄ«O;RPU;RSU;1490,95;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;1063,06;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;10906,84;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;PODA ATERRADA;RPO ;RPO;761,05;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;CAPIM;RPU;RSU;9,85;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS DA LAGOA DA PAMPULHA;RPU;RSU;0,41;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;COLETA ESPECIAL;RDO;RSU;127,98;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;PRODUTOS DETERIORADOS;Outros;RSU;3,76;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;509,13;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;174,65;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS URPV;RCCV;RCCV;5292,77;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;MATERIAL INERTE (LIXO/PISO);RSU;RSU;8861,33;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;1654,38;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;24,51;;;SLU;;
Mar;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;7051,29;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;994,87;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;159,38;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;37044,48;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;15562,82;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DEPOSIÄ«O CLANDESTINA/ENTULHO;RCC;RCCV;2087,88;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;COLETA MEC. DE DEPOSIÄ«O CLANDESTINA/TERRA;RCC;RCCV;2209,16;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;RES÷DUOS URPV - ENTULHO;RCC;RCCV;1290,07;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;BARRO;RPU;RSU;2919;;;SLU;;
Abr;2009;CTRS BR040;ATERRAGEM;ANIMAIS MORTOS;RSS;RSS;21,17;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;CAPINA;RPU;RSU;1089,35;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;COLETA DOMICILIAR CONVENCIONAL;RDO;RSU;16491,82;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;VARRIÄ«O;RPU;RSU;1214,69;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;COLETA DOMIC VILAS FAVELAS;RDO;RSU;989;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS DIVERSOS;Outros;RSU;10666,83;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;PODA ATERRADA;RPO ;RPO;622,97;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;CAPIM;RPU;RSU;1,89;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;COLETA ESPECIAL;RDO;RSU;133,34;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;PRODUTOS DETERIORADOS;Outros;RSU;4,9;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;MANUTENÄ«O GERAL DA CTRS;RPU;RSU;517,33;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;COL. DEPO. CLAND. CAR. MEC;RPU;RSU;278,33;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS URPV;RCCV;RCCV;2921,1;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;MATERIAL INERTE (LIXO/PISO);RSU;RSU;12597,6;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;COL DEPO CLAND. CARG MANUAL;RPU;RSU;1388,52;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;RESIDUOS MUTIR«O DA  DENGUE;Outros;RSU;6,73;;;SLU;;
Abr;2009;TRANSBORDO;ATERRAGEM;RES÷DUOS PÈBLICOS DAS REGIONAIS;RPU;RSU;5899,42;;;SLU;;
Mai;2009;CTRS BR040;ATERRAGEM;RES÷DUOS COLETA EM UNID. SERVIÄOS DE SAÈDE;RSS;RSS;899,23;;;SLU;;
Mai;2009;CTRS BR040;ATERRAGEM;RES÷DUOS SAÈDE DE PARTICULARES ;RSS;RSS;155,34;;;SLU;;
Mai;2009;CTRS BR040;ATERRAGEM;ENTULHO PARTICULAR;RCC;RCCV;39549,71;;;SLU;;
Mai;2009;CTRS BR040;ATERRAGEM;TERRA PARTICULAR;RCC;RCCV;30047,22;;;SLU;;
