estado,cidade,local,endereço,bairro,cep,tipo_de_material,horario_seg_sex,horario_sab_dom,tipo
SP,São Paulo,Hirota - Mooca,"Rua Teresina, 319",Vila Bertioga,03185-010,Cápsulas de café,,,Três Corações
SP,São Paulo,Super Saudável,"Avenida São Gualter, 931",Alto de Pinheiros,05455-001,Cápsulas de café,,,
SP,São Paulo,COOP Industrial,"Avenida Industrial, 2001",Campestre,09080-511,Cápsulas de café,,,
SP,São Paulo,Hirota - Campo Belo,"Rua Vieira de Morais, 263",Campo Belo,04617-010,Cápsulas de café,,,
SP,São Paulo,Emporium São Paulo - Jurema,"Avenida Jurema, 271",Indianópolis,04087-000,Cápsulas de café,,,
SP,São Paulo,Hirota - Ipiranga,"Avenida Nazaré, 1299",Ipiranga,04263-100,Cápsulas de café,,,
SP,São Paulo,Emporium São Paulo - Pedroso Alvarenga,"Rua. R. Pedroso Alvarenga, 803",Itaim Bibi,04531-002,Cápsulas de café,,,
SP,São Paulo,Hirota - Saúde,"Avenida Jabaquara, 1920",Vila da Saúde,04046-300,Cápsulas de café,,,
SP,São Paulo,Hirota - Santa Cecília,"Avenida General Olímpio da Silveira, 39",Santa Cecília,01150-001,Cápsulas de café,,,
SP,São Paulo,Hirota - Vila Monumento,"Rua Gaspar Fernandes, 452",Vila Monumento,01549-000,Cápsulas de café,,,
SP,São Paulo,Emporium São Paulo - Afonso Braz,"Rua Afonso Braz, 431",Vila Nova Conceição,04511-011,Cápsulas de café,,,
SP,Ferraz de Vasconcelos,Ecoponto Ferraz de Vasconcelos,"Av. dos Multirantes, s/n Jd, Rua Itajuibe,",,08540-540,"Papel, plástico, vidro e metal",,,
SP,Ferraz de Vasconcelos,Ecoponto Favela dos Sonhos,"R. São Lucas, 4",Jardim São Lázaro,08541-110,"Papel, plástico, vidro e metal",,,
SP,São Paulo,RUA AUGUSTA,"Rua Augusta, 1.600, Consolação, São Paulo – SP CEP",Consolação,01304-001,Lixo eletrônico,,,
SP,São Paulo,SHOPPING ARICANDUVA,"Av. Aricanduva, 5555 - Loja Âncora 1",Jardim Aricanduva,03527-000,Lixo eletrônico,,,
SP,São Paulo,SHOPPING BOAVISTA,"Rua Borba Gato, 59 - Lojas L219 e L315",Santo Amaro,04747-030,Lixo eletrônico,,,
SP,São Paulo,CENTRAL PLAZA SHOPPING,"Av. Francisco Mesquita N-1000 - Loja Âncora ""C"" - Vila Prudente
- São Paulo - SP",Vila Prudente,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING CAMPO LIMPO,"Estrada do Campo Limpo, 459 - loja âncora A-01",Vila Prel,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING IBIRAPUERA,"Av. Ibirapuera, 3103 - lojas 4 e 5",Indianópolis,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING INTERLAGOS,"Av. Interlagos, 2255 - Loja ""Arco A""",Campo Grande,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING JARDIM SUL,"Avenida Giovanni Gronchi, 5819 - LUC 001",Vila Andrade,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING MORUMBI,"Av. Roque Petroni Júnior, 1089 - loja 1",Vila São Francisco,,Lixo eletrônico,,,
SP,São Paulo,SHOPPING PENHA,"Rua Doutor João Ribeiro, 304 Lojas Âncoras C e F",Penha de França,03634-900,Lixo eletrônico,,,
SP,São Paulo,RAPOSO SHOPPNG,"Rodovia Raposo Tavares, s/nº , Km 14,5 - lojas 3001 e 3002",Jardim Olympia,05576-970,Lixo eletrônico,,,
SP,São Paulo,SANTANA PARQUE SHOPPING,"Rua Conselheiro Moreira de Barros, 2780, loja 2011 - 2º
pavimento",Mandaqui,02430-001,Lixo eletrônico,,,
SP,São Paulo,BOURBON SHOPPING POMPÉIA,"Rua Turiassu, 2.100, loja 117, 2º piso",Perdizes,05005-900,Lixo eletrônico,,,
SP,São Paulo,SHOPPING CENTER NORTE,"Travessa Casalbuono, 120 - loja 610",Vila Guilherme,02047-050,Lixo eletrônico,,,
SP,São Paulo,CANTAREIRA NORTE SHOPPING,"Endereço: Avenida Raimundo Pereira de Magalhães, 11.001 –
loja 1002/2002",Jardim Pirituba,02984-035,Lixo eletrônico,,,
SP,São Paulo,SHOPPING ITAQUERA,"Avenida José Pinheiro Borges, s/nº - lojas 101/201, Gleba I",Itaquera,08220-900,Lixo eletrônico,,,
SP,São Paulo,SHOPPING MÓOCA,"Rua Capitão Pacheco e Chaves, 313 – loja 2049",Vila Prudente,03126-000,Lixo eletrônico,,,
SP,São Paulo,CENTRO - SÃO PAULO,"Rua 24 de Maio, 70",Centro,01041-001,Lixo eletrônico,,,
SP,São Paulo,SHOPPING D,"Avenida Cruzeiro do Sul, 1.100, SUC 2000, 2º piso",Canindé,03033-020,Lixo eletrônico,,,
SP,São Paulo,SHOPPING ELDORADO,"Avenida Rebouças, 3970, lojas 231 a 234, 236A, 239, 246 e 279,
1º Piso",Pinheiros,05402-918,Lixo eletrônico,,,
