estado,cidade,local,endereço,bairro,tipo_de_material,horário_seg-sex,horário_sab-dom,tipo
SP,GUARULHOS,s/n,"Rua João Bernardo de Medeiros, 800",Bom Clima,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Vila Sant Anna,"Rua Soldado Estanislau Wojcik, 26",Macedo,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Vila Zamataro,"Alameda Josefina L. Zamataro, 233",Ponte Grande,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Jardim Flor do Campo,"Rua Guilherme Lino dos Santos, 349",Vila Barros,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Vila Galvão,"Rua Ipiranga, 543",Vila Galvão,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Parque Santo Antonio,"Rua Ouvidor, 198",Parque Santo Antonio,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Escola Maria Helena Faria Lima e Cunha,"Avenida Pedro de Souza Lopes, s/n",Cabuçu,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Vila Rio,"Avenida Benjamin Harris Hunnicutt, 1509",Vila Rio,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Jardim Bela Vista,"Rua Cabrália, 100",Cabrália,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Parque Mikail,"Rua Justiniano Salvador dos Santos, 269",Mikail,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
SP,GUARULHOS,Vila Sítio dos Morros,"Rua Walter Pereira de Lima, 105",Adriana,"Coleta seletiva, obras e materiais, líquidos, borracha",8h15-16h,8h15-15h30,ecoponto
